Timestamp,Sender,Message,Type
2024-10-06 22:39:31,System,"‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.",Text
2024-10-06 22:39:31,Gülbin,‎Kocamm❣️🙈🐣 created group “foto”,Text
2024-10-06 22:39:31,System,‎Kocamm❣️🙈🐣 added you,Text
2024-10-06 22:43:00,Gülbin,‎Kocamm❣️🙈🐣 changed the group description,Text
2024-10-06 22:40:30,Defne,?,Text
2024-10-06 22:40:51,Eslem,Bu ne,Text
2024-10-06 22:41:36,Gülbin,1-sabah okula giderken,Text
2024-10-06 22:41:44,Gülbin,gün içinde sizden istediğim fotolar,Text
2024-10-06 22:41:47,Defne,HAHHAHHA,Text
2024-10-06 22:41:49,Defne,COK IYI,Text
2024-10-06 22:41:56,Gülbin,herkes atıcak,Text
2024-10-06 22:41:57,Gülbin,hep ‎<This message was edited>,Text
2024-10-06 22:42:03,Defne,cok tatli,Text
2024-10-06 22:42:25,Zeynep,KANKA,Text
2024-10-06 22:42:26,Zeynep,AHSKAJSSK,Text
2024-10-06 22:42:35,Gülbin,hepsini atmasanız da okay ve eklemeler yapabilirsiniz gün highlightlarınızın başka şeylerinde ama çoğunluğunu istiyorum,Text
2024-10-06 22:42:41,Gülbin,AHSNDLFK,Text
2024-10-06 22:42:43,Duru,KANKA DELİRCEM HAJXJWJZJWJXJWDJAJS,Text
2024-10-06 22:42:45,Defne,ihihi,Text
2024-10-06 22:42:45,Zeynep,BAK IRGAT GERGİNLİĞİ YÜKLEDİN YİNE ÜSTÜME KAŞAR,Text
2024-10-06 22:42:46,Duru,MÜKEMMEL,Text
2024-10-06 22:42:48,Defne,cok sevdim,Text
2024-10-06 22:42:51,Gülbin,AHAJDKDKDJD,Text
2024-10-06 22:42:51,Defne,aferin kizim,Text
2024-10-06 22:42:54,Zeynep,of,Text
2024-10-06 22:42:56,Zeynep,tamam be tamam,Text
2024-10-06 22:43:17,Defne,SLLLLAYY,Text
2024-10-06 22:43:18,Duru,benim rootlarıma dönüş gülbin çok iyi bilir,Text
2024-10-06 22:43:25,Zeynep,ama bişe dicem,Text
2024-10-06 22:43:28,Zeynep,ben işe gitçem,Text
2024-10-06 22:43:29,Duru,pazar gecesi sonsuz bakım rutibi,Text
2024-10-06 22:43:32,Zeynep,sanırsam,Text
2024-10-06 22:43:33,Zeynep,ilk iş,Text
2024-10-06 22:43:36,Zeynep,sonra okula,Text
2024-10-06 22:43:47,Duru,yeter ya yeter yeteeeerrrrrr,Text
2024-10-06 22:44:01,Zeynep,ühü,Text
2024-10-06 22:44:06,Duru,tmm onu da at mal orda okul yazmış diye safece o mu oluyo,Text
2024-10-06 22:44:06,Zeynep,ya of gerçekten,Text
2024-10-06 22:44:07,Duru,o bi örnek,Text
2024-10-06 22:44:23,Gülbin,ay benim de yapmam lazımdı,Text
2024-10-06 22:44:27,Zeynep,ihi,Text
2024-10-06 22:44:30,Gülbin,AHSJDJDK,Text
2024-10-06 22:44:33,Gülbin,duru bugün uyumaz,Text
2024-10-06 22:44:35,Duru,ahzjwjxjwjd bacıııımm afieddd ama düzgün şeyler ye artık slk kadın,Text
2024-10-06 22:44:43,Gülbin,tamam onu da istiyorum,Text
2024-10-06 22:44:54,Duru,HWJZJWJZJWJD,Text
2024-10-06 22:44:55,Azra,adnan oktar,Text
2024-10-06 22:44:56,Azra,HANXNAHZNAHA,Text
2024-10-06 22:44:58,Duru,erken başladım ama bugün,Text
2024-10-06 22:45:06,Azra,KEDİCİKLERİNDEN İSTİYO,Text
2024-10-06 22:45:09,Azra,GUN ICINDE NE YAPIYOSUNUZ,Text
2024-10-06 22:45:13,Azra,HABER VERICEKSINIZ!!,Text
2024-10-06 22:45:14,Gülbin,SHSNDND KEDİCİKLERİM,Text
2024-10-06 22:45:19,Defne,hihihi,Text
2024-10-06 22:45:23,Defne,ben onun mali olmaktan memnunum,Text
2024-10-06 22:45:26,Defne,im all yours yabi,Text
2024-10-06 22:45:27,Defne,yani,Text
2024-10-06 22:45:36,Gülbin,grup ppde eksiksiz herkesin olması,Text
2024-10-06 22:45:39,Gülbin,bammmbaşka bi dg,Text
2024-10-06 22:45:48,Duru,ahzjajdjajd gerçekten bizşm için bi ilk,Text
2024-10-06 22:46:06,Duru,ABİ GÜLBİNİN TALEPKAR MODUNA BAYILIYOEUM KARIIIIMMM,Text
2024-10-06 22:46:10,Duru,SEN İSTE YAPİM BEEEYYY,Text
2024-10-06 22:46:18,Gülbin,AHAHAHSHSHSH🧿🧿🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,Text
2024-10-06 22:46:21,Defne,bend e ben de be  deeee,Text
2024-10-06 22:48:23,Defne,ben,Text
2024-10-06 22:48:26,Defne,random ssleri de istiyorum,Text
2024-10-06 22:48:35,Defne,JDJAHAHHAHQJQJ,Text
2024-10-06 22:48:48,Defne,hiihihih,Text
2024-10-06 22:48:54,Duru,ok AHZHAHSHAJSJAJHS,Text
2024-10-06 22:49:13,Azra,hayir kurulusu,Text
2024-10-06 22:49:15,Azra,BENCNWJXMWKXMWKD,Text
2024-10-06 22:49:17,Defne,JDSHAHAHHAHAHA,Text
2024-10-06 22:49:20,Defne,ABI IRGAT GERGINLIGI,Text
2024-10-06 22:49:23,Defne,COK POPULERSIN ASKIMMM,Text
2024-10-06 22:49:30,Gülbin,??? AHAHAH,Text
2024-10-06 22:49:36,Gülbin,dilencileri🙏🏻,Text
2024-10-06 22:49:41,Azra,hemen bi iphone 16,Text
2024-10-06 22:49:44,Azra,kardesime,Text
2024-10-06 22:49:46,Azra,BENDNWJXNWKSMWS,Text
2024-10-06 22:49:54,Defne,ABLAA HSHAHAHHAH,Text
2024-10-06 22:50:25,Azra,bi de,Text
2024-10-06 22:50:27,Azra,gun icinde,Text
2024-10-06 22:50:29,Azra,iyi bi vibe vericek,Text
2024-10-06 22:50:32,Azra,sarki da atalum mi,Text
2024-10-06 22:50:42,Azra,modumuz dusunce acip dinleriz🥰🥰,Text
2024-10-06 22:50:44,Gülbin,@16093754278 @905058121965 mesaj birikti diye gruba girmemezlik yapamazsınız. çıkarılırsınız😡,Text
2024-10-06 22:50:58,Duru,HAHZJAJSJS ABLA MERHABA,Text
2024-10-06 22:51:05,Gülbin,yeees,Text
2024-10-06 22:51:05,Azra,GENXNWJSNW,Text
2024-10-06 22:51:18,Gülbin,burası günlük update ve vibe güzelleştirme grubumuz,Text
2024-10-06 22:51:21,Duru,EVET EVET EVET DİYORUMM,Text
2024-10-06 22:51:32,Duru,🧚🧚🧚,Text
2024-10-06 22:51:35,Gülbin,fotolu update ama fotosuz dedikodu gibi updateleri baika yerlerde yapabilirsiniz,Text
2024-10-06 22:52:01,Azra,🥰🥰🥰🙏🏻🙏🏻,Text
2024-10-06 22:52:02,Defne,ihiihih,Text
2024-10-06 22:52:05,Defne,CAKAL MERHABAAA,Text
2024-10-06 22:52:09,Duru,ahzjwjxjwjd tamam abla,Text
2024-10-06 22:52:18,Duru,HAJZJWJXJWJDS YESSIRRR,Text
2024-10-06 22:52:22,Defne,yarin herkesin ilk gunu mu?,Text
2024-10-06 22:52:27,Defne,duygu haric,Text
2024-10-06 22:52:42,Azra,benim de degil,Text
2024-10-06 22:52:53,Defne,benim de degil ama derslerin ilk gunu,Text
2024-10-06 22:53:12,Defne,KANKA,Text
2024-10-06 22:53:12,Defne,AMK,Text
2024-10-06 22:53:16,Defne,O BENIM OZ TEYZEM,Text
2024-10-06 22:53:21,Gülbin,AHAHAHAH,Text
2024-10-06 22:53:30,Defne,HAHAHAHHAHAHAHA,Text
2024-10-06 22:53:33,Defne,bu hangi sergi,Text
2024-10-06 22:53:35,Duru,HAHZJWJZJWJZJWJSJAD,Text
2024-10-06 22:53:39,Duru,212 foto mu ney,Text
2024-10-06 22:53:46,Eslem,Aga grup axilali uc saniye oldu 100 mesaj var,Text
2024-10-06 22:53:49,Eslem,Mal misiniz siz,Text
2024-10-06 22:53:55,Eslem,But gruba mesaj atmak yasak olsun,Text
2024-10-06 22:53:56,Gülbin,tm çık,Text
2024-10-06 22:54:01,Gülbin,😡,Text
2024-10-06 22:54:01,Eslem,Sadece fotoğraf ve tepki,Text
2024-10-06 22:54:06,Eslem,Gorsel iletosim,Text
2024-10-06 22:54:09,Eslem,Bi deneyelim,Text
2024-10-06 22:54:23,Defne,ya ilk gun heyecani kuzum,Text
2024-10-06 22:54:31,Defne,ben cok heyecanlandim yazmadan diramiyorum,Text
2024-10-06 22:54:40,Gülbin,AZRANIN FOTOLARA LITERALLY TEPKİ KOYMASI AJSMDKD,Text
2024-10-06 22:54:42,Gülbin,sameeee,Text
2024-10-06 22:54:42,Defne,ozur dilerim nefes aldigim icin,Text
2024-10-06 22:54:45,Gülbin,sonradan düEne girer,Text
2024-10-06 22:54:46,Azra,BENXNWNZNWNXMWSMQMD,Text
2024-10-06 22:54:52,Defne,AY I LOVEE,Text
2024-10-06 22:54:53,Azra,BACIMI DINLERIM BEN,Text
2024-10-06 22:54:57,Defne,oxfordda hava alani mi var,Text
2024-10-06 22:55:02,Defne,londraya falsn mi indin,Text
2024-10-06 22:55:05,Duru,HAHZJAJZJAJSS I LUV HER YAA BACIMMM,Text
2024-10-06 22:55:05,Defne,i really dont know,Text
2024-10-06 22:55:07,Eslem,Gatwick,Text
2024-10-06 22:55:07,Azra,kankaa dizi sokagi gibi,Text
2024-10-06 22:55:09,Azra,aglicammm,Text
2024-10-06 22:55:09,Defne,JDHAAHHAHAHAHJAJAJA,Text
2024-10-06 22:55:10,Azra,cok iyi,Text
2024-10-06 22:55:11,Eslem,Ordan otobis,Text
2024-10-06 22:55:15,Defne,DIMI,Text
2024-10-06 22:55:16,Gülbin,mavi mont seçilmiş,Text
2024-10-06 22:55:20,Duru,SLAY,Text
2024-10-06 22:55:22,Eslem,Yazss,Text
2024-10-06 22:55:25,Defne,bi balat bi oxford,Text
2024-10-06 22:55:30,Azra,hanxbahahahahaha,Text
2024-10-06 22:55:46,Duru,GERRRÇEKTEN ABİ TAM OLARAK,Text
2024-10-06 22:55:51,Gülbin,AHSHHDDJ,Text
2024-10-06 22:56:46,Azra,maxton hall ciddili,Text
2024-10-06 22:56:51,Azra,oxfordda mi cekilmisti,Text
2024-10-06 22:57:07,Gülbin,sanrım evet,Text
2024-10-06 22:57:11,Gülbin,@16093754278 sen izledin mi,Text
2024-10-06 22:57:49,Azra,off cok tatliydi,Text
2024-10-06 22:57:56,Duru,evet galiba,Text
2024-10-06 22:58:00,Duru,offff eveett,Text
2024-10-06 22:58:12,Azra,eslem bize 2. sezondan spoiler verir,Text
2024-10-06 22:58:14,Azra,habzbahahahaha,Text
2024-10-06 22:58:21,Eslem,o ne,Text
2024-10-06 22:58:22,Defne,eslem cekicek ikinci sezonu,Text
2024-10-06 22:58:28,Defne,i could be anything you want,Text
2024-10-06 22:58:31,Defne,boyfriend boy toy,Text
2024-10-06 22:58:35,Azra,kankaa hsbsbzhaha,Text
2024-10-06 22:59:08,Defne,NDJAJAHAHHAHAHHAAA,Text
2024-10-06 22:59:12,Defne,valla,Text
2024-10-06 22:59:13,Gülbin,oh wow,Text
2024-10-06 22:59:19,Azra,cok guzellerr,Text
2024-10-06 22:59:38,Azra,o ikonik foto,Text
2024-10-06 22:59:42,Duru,SUSSSSSS🫦🫦🫦,Text
2024-10-06 23:00:14,Defne,BU NE YUUUHHHHHH,Text
2024-10-06 23:00:19,Duru,YİA SİZİ YERRROOO,Text
2024-10-06 23:00:21,Duru,ben de istiyoruz,Text
2024-10-06 23:00:22,Azra,gokyuzuasiri iyitidu,Text
2024-10-06 23:00:22,Duru,sizle,Text
2024-10-06 23:00:33,Azra,istanbuldan gokyuzu fotosu,Text
2024-10-06 23:00:39,Duru,kanka cidden wtf yaaa bu neeeeğğp,Text
2024-10-06 23:01:13,Defne,bu ne OOOOHA ABI,Text
2024-10-06 23:01:18,Defne,oha oha oha,Text
2024-10-06 23:01:26,Azra,ben daha iyi cekmisim (koymusum),Text
2024-10-06 23:01:28,Azra,HENXHAHAHAHAHA,Text
2024-10-06 23:01:36,Gülbin,kes lan köpek evine gelip dövmiyim,Text
2024-10-06 23:01:43,Azra,ama seninki daha iyi,Text
2024-10-06 23:01:44,Gülbin,saka🥰🧿,Text
2024-10-06 23:01:46,Azra,🥹🥹,Text
2024-10-06 22:44:07,Gülbin,‎Kocamm❣️🙈🐣 changed this group's icon,Text
2024-10-06 23:53:00,Ben,ay oha,Text
2024-10-06 23:53:02,Ben,yok artık,Text
2024-10-06 23:53:10,Ben,dünyanın en tatlı rutini,Text
2024-10-06 23:53:16,Defne,DIMIIII,Text
2024-10-06 23:53:39,Ben,oha,Text
2024-10-06 23:53:41,Ben,bu neee,Text
2024-10-06 23:53:49,Gülbin,AY YERİM SENİİİ,Text
2024-10-06 23:54:14,Ben,fotoğrafçılığı sana takdim ediyorum?,Text
2024-10-06 23:54:15,Azra,prensesss,Text
2024-10-06 23:54:20,Ben,tahtım çalındıı,Text
2024-10-06 23:54:22,Ben,AYYY,Text
2024-10-06 23:54:27,Ben,BU kadar sewgğ,Text
2024-10-06 23:54:34,Ben,BI mutlu oldumm,Text
2024-10-06 23:54:37,Ben,KIZ NEŞESII,Text
2024-10-06 23:54:39,Ben,ben sizi yerimm,Text
2024-10-06 23:54:53,Ben,sizi bundan iyi anlatan bi foto olamaz,Text
2024-10-06 23:55:01,Ben,çok tatlış,Text
2024-10-06 23:55:03,Ben,hani,Text
2024-10-06 23:55:10,Ben,böyle aptal bi tatlılığı var🥰,Text
2024-10-06 23:55:18,Gülbin,hihihihiihihih,Text
2024-10-06 23:55:23,Ben,DURRRU,Text
2024-10-06 23:55:26,Ben,inanmam,Text
2024-10-06 23:55:28,Ben,ay oha,Text
2024-10-06 23:55:32,Defne,ANANAJJAJA,Text
2024-10-06 23:55:42,Ben,this has to have its own name,Text
2024-10-06 23:55:45,Ben,in love langugages,Text
2024-10-06 23:55:57,Ben,GIRRRR,Text
2024-10-06 23:56:00,Ben,YUMMY,Text
2024-10-06 23:56:03,Ben,AHHH,Text
2024-10-06 23:56:17,Ben,benimleyken bunları giyiyosunuz ki,Text
2024-10-06 23:56:19,Ben,hanımefendi,Text
2024-10-06 23:56:30,Ben,bi tur sana bi tur bu arkadaşlara sulanıyorum,Text
2024-10-06 23:56:48,Ben,soul chils,Text
2024-10-06 23:56:49,Ben,d,Text
2024-10-06 23:57:13,Ben,nE,Text
2024-10-06 23:57:49,Ben,bizim hayat mottosu,Text
2024-10-06 23:58:10,Ben,ultimatommm,Text
